Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1964,-.08,-.12,-.23,-.31,-.24,-.02,-.03,-.21,-.29,-.31,-.21,-.30,-.20,-.17,-.07,-.26,-.09,-.27
1965,-.08,-.17,-.11,-.19,-.14,-.09,-.12,-.03,-.16,-.05,-.06,-.06,-.10,-.12,-.18,-.14,-.08,-.09
1966,-.17,.00,.05,-.12,-.11,.01,.09,-.08,-.02,-.15,-.02,-.05,-.05,-.05,-.08,-.06,.01,-.06
1967,-.05,-.21,.04,-.05,.15,-.08,.01,.01,-.06,.08,-.06,-.03,-.02,-.02,-.10,.05,-.02,-.01
1968,-.25,-.15,.21,-.05,-.13,-.07,-.12,-.09,-.18,.11,-.03,-.13,-.07,-.07,-.14,.01,-.09,-.03
1969,-.11,-.14,.01,.18,.19,.05,-.02,.03,.09,.13,.13,.28,.07,.03,-.12,.13,.02,.11
1970,.09,.22,.08,.09,-.04,-.02,-.02,-.09,.11,.06,.02,-.12,.03,.07,.20,.04,-.04,.07
1971,-.02,-.19,-.17,-.08,-.05,-.19,-.11,-.03,-.04,-.06,-.05,-.09,-.09,-.09,-.11,-.10,-.11,-.05
1972,-.24,-.16,.03,.01,-.03,.06,.01,.17,.02,.09,.04,.20,.02,-.01,-.16,.00,.08,.05
1973,.29,.31,.27,.26,.26,.18,.10,.04,.10,.14,.06,-.06,.16,.18,.26,.26,.11,.10
1974,-.15,-.29,-.06,-.12,-.02,-.06,-.05,.11,-.11,-.08,-.07,-.09,-.08,-.08,-.16,-.07,.00,-.09
1975,.07,.07,.13,.05,.16,.00,-.01,-.19,-.03,-.09,-.16,-.17,-.01,-.01,.02,.11,-.07,-.09
1976,-.01,-.06,-.21,-.08,-.24,-.16,-.10,-.15,-.09,-.26,-.04,.10,-.11,-.13,-.08,-.18,-.14,-.13
1977,.19,.22,.25,.27,.30,.24,.20,.16,.00,.02,.17,.02,.17,.18,.17,.27,.20,.06
1978,.06,.14,.21,.15,.06,-.02,.03,-.17,.05,.00,.16,.10,.06,.06,.08,.14,-.05,.07
1979,.12,-.10,.18,.13,.06,.13,.02,.14,.25,.24,.28,.47,.16,.13,.04,.12,.10,.26
1980,.30,.43,.30,.33,.36,.17,.29,.23,.19,.18,.29,.20,.27,.29,.40,.33,.23,.22
1981,.55,.41,.49,.31,.24,.32,.34,.32,.17,.14,.24,.43,.33,.31,.38,.35,.33,.18
1982,.10,.15,-.01,.09,.16,.05,.13,.07,.14,.13,.15,.43,.13,.13,.23,.08,.08,.14
1983,.52,.40,.42,.31,.36,.20,.17,.33,.39,.16,.32,.17,.31,.33,.45,.36,.23,.29
1984,.30,.17,.29,.09,.33,.06,.17,.16,.21,.16,.06,-.05,.16,.18,.21,.24,.13,.14
1985,.22,-.06,.17,.11,.17,.18,-.01,.15,.15,.11,.09,.15,.12,.10,.04,.15,.11,.12
1986,.29,.39,.28,.24,.25,.11,.11,.12,.00,.13,.11,.17,.18,.18,.27,.25,.11,.08
1987,.36,.46,.16,.22,.25,.37,.45,.28,.39,.32,.25,.48,.33,.31,.33,.21,.37,.32
1988,.57,.43,.51,.45,.43,.43,.34,.47,.41,.39,.12,.33,.41,.42,.49,.47,.41,.31
1989,.15,.35,.36,.33,.16,.14,.33,.37,.37,.31,.20,.38,.29,.28,.27,.29,.28,.30
1990,.40,.41,.76,.55,.46,.38,.43,.30,.28,.41,.45,.40,.44,.44,.40,.59,.37,.38
1991,.40,.49,.34,.52,.37,.52,.47,.39,.48,.29,.31,.32,.41,.42,.43,.41,.46,.36
1992,.44,.41,.47,.23,.32,.25,.11,.07,-.01,.08,.03,.21,.22,.23,.39,.34,.14,.03
1993,.37,.38,.36,.26,.27,.25,.27,.13,.10,.22,.06,.16,.24,.24,.32,.30,.22,.13
1994,.27,.02,.27,.40,.28,.42,.30,.21,.28,.41,.46,.36,.31,.29,.15,.32,.31,.38
1995,.50,.78,.45,.47,.26,.41,.48,.45,.32,.47,.45,.28,.44,.45,.55,.39,.45,.41
1996,.25,.48,.32,.36,.26,.25,.35,.48,.25,.18,.41,.40,.33,.32,.34,.31,.36,.28
1997,.31,.38,.53,.35,.36,.53,.34,.40,.53,.62,.64,.59,.46,.45,.36,.41,.43,.60
1998,.60,.90,.63,.63,.69,.77,.68,.66,.42,.44,.49,.56,.62,.62,.69,.65,.70,.45
1999,.48,.65,.34,.32,.31,.37,.37,.31,.41,.39,.38,.43,.40,.41,.56,.32,.35,.39
2000,.24,.56,.57,.57,.36,.41,.38,.42,.40,.28,.32,.29,.40,.41,.41,.50,.40,.33
2001,.42,.44,.56,.50,.56,.54,.60,.48,.54,.50,.70,.55,.53,.51,.38,.54,.54,.58
2002,.75,.75,.90,.56,.64,.55,.61,.53,.62,.55,.58,.44,.62,.63,.69,.70,.56,.58
2003,.73,.55,.58,.53,.61,.48,.53,.65,.64,.74,.52,.73,.61,.58,.57,.57,.55,.64
2004,.59,.72,.65,.63,.39,.43,.24,.43,.50,.64,.70,.50,.53,.55,.68,.55,.37,.61
2005,.71,.57,.71,.67,.62,.66,.64,.60,.74,.76,.72,.65,.67,.66,.59,.66,.63,.74
2006,.56,.69,.62,.50,.47,.64,.52,.70,.62,.67,.69,.73,.62,.61,.63,.53,.62,.66
2007,.94,.70,.69,.74,.66,.59,.60,.57,.59,.57,.55,.46,.64,.66,.79,.69,.59,.57
2008,.23,.34,.73,.51,.47,.46,.59,.43,.62,.63,.65,.52,.51,.51,.34,.57,.49,.63
2009,.61,.51,.52,.59,.64,.65,.70,.66,.68,.63,.76,.65,.63,.62,.55,.58,.67,.69
2010,.73,.79,.92,.85,.73,.62,.59,.63,.59,.69,.77,.46,.70,.72,.73,.83,.62,.69
2011,.49,.51,.62,.62,.51,.58,.71,.71,.54,.63,.55,.53,.58,.58,.49,.59,.67,.58
2012,.45,.47,.56,.68,.74,.63,.53,.61,.72,.75,.73,.52,.62,.62,.48,.66,.59,.73
2013,.66,.55,.66,.53,.58,.65,.58,.66,.77,.67,.78,.65,.64,.63,.58,.59,.63,.74
2014,.73,.51,.76,.77,.85,.66,.56,.81,.88,.81,.66,.77,.73,.72,.63,.79,.68,.78
2015,.81,.87,.90,.74,.75,.79,.71,.78,.82,1.07,1.03,1.10,.86,.84,.82,.80,.76,.97
2016,1.15,1.34,1.31,1.07,.91,.77,.82,1.00,.87,.89,.90,.83,.99,1.01,1.20,1.10,.86,.89
2017,.98,1.12,1.12,.92,.89,.70,.82,.87,.76,.88,.85,.89,.90,.89,.98,.98,.80,.83
2018,.77,.84,.91,.87,.81,.75,.78,.73,.76,.99,.78,.89,.82,.82,.83,.86,.75,.84
2019,.87,.92,***,***,***,***,***,***,***,***,***,***,***,***,.89,***,***,***
